codigo_mesa,departamento,provincia,distrito,participacion_pct,electores_habiles,votos_emitidos,total_validos,winner_party,winner_votes,winner_share_pct,winner_margin_pct,suspicious_party,suspicious_party_share_pct,suspicious_party_z,baseline_mean_share_pct,baseline_source,estimated_excess_votes,winner_last_digit,score,flag_top_0_2_pct
903371,LORETO,DATEM DEL MARAÑÓN,BARRANCA,72.64,106,77,66,JUNTOS POR EL PERÚ,62,93.94,92.42,JUNTOS POR EL PERÚ,93.94,7.516,10.69,distrito,54.94,2,18.1258,True
900692,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,95.24,168,160,118,JUNTOS POR EL PERÚ,102,86.44,83.05,JUNTOS POR EL PERÚ,86.44,3.7825,32.43,distrito,63.74,2,17.2277,True
902219,HUÁNUCO,HUAMALIES,MIRAFLORES,87.65,81,71,54,JUNTOS POR EL PERÚ,39,72.22,64.81,JUNTOS POR EL PERÚ,72.22,9.7566,2.63,distrito,37.58,9,15.5534,True
000295,AMAZONAS,BAGUA,BAGUA,86.29,299,258,179,JUNTOS POR EL PERÚ,153,85.47,78.21,JUNTOS POR EL PERÚ,85.47,6.5882,27.4,distrito,103.96,3,15.0413,True
901451,CAJAMARCA,CUTERVO,LA RAMADA,92.19,64,59,53,JUNTOS POR EL PERÚ,45,84.91,81.13,JUNTOS POR EL PERÚ,84.91,3.2058,49.99,provincia,18.5,5,14.7047,True
900699,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,94.87,78,74,52,JUNTOS POR EL PERÚ,43,82.69,75.0,JUNTOS POR EL PERÚ,82.69,3.52,32.43,distrito,26.14,3,14.4491,True
902370,HUÁNUCO,PACHITEA,PANAO,72.26,292,211,126,JUNTOS POR EL PERÚ,123,97.62,96.83,JUNTOS POR EL PERÚ,97.62,2.8744,60.77,distrito,46.43,3,14.3843,True
900048,AMAZONAS,BAGUA,IMAZA,86.99,146,127,64,JUNTOS POR EL PERÚ,60,93.75,90.62,JUNTOS POR EL PERÚ,93.75,2.6334,66.55,distrito,17.41,0,13.8872,True
900028,AMAZONAS,BAGUA,IMAZA,55.56,216,120,91,JUNTOS POR EL PERÚ,86,94.51,92.31,JUNTOS POR EL PERÚ,94.51,2.7066,66.55,distrito,25.44,6,13.5255,True
901524,CAJAMARCA,JAÉN,SALLIQUE,64.92,248,161,120,JUNTOS POR EL PERÚ,110,91.67,88.33,JUNTOS POR EL PERÚ,91.67,3.2495,37.32,provincia,65.22,0,13.5162,True
903428,LORETO,DATEM DEL MARAÑÓN,MORONA,89.72,214,192,149,JUNTOS POR EL PERÚ,136,91.28,88.59,JUNTOS POR EL PERÚ,91.28,2.4376,44.1,distrito,70.29,6,13.5111,True
018146,CUSCO,QUISPICANCHI,OCONGATE,89.33,300,268,230,JUNTOS POR EL PERÚ,208,90.43,86.09,JUNTOS POR EL PERÚ,90.43,2.8338,64.73,distrito,59.12,8,13.4543,True
901353,CAJAMARCA,CHOTA,TACABAMBA,69.08,262,181,159,JUNTOS POR EL PERÚ,146,91.82,89.31,JUNTOS POR EL PERÚ,91.82,3.4078,66.02,distrito,41.03,6,13.4416,True
900946,AYACUCHO,HUAMANGA,VINCHOS,94.06,219,206,137,JUNTOS POR EL PERÚ,110,80.29,75.91,JUNTOS POR EL PERÚ,80.29,2.4602,49.71,distrito,41.9,0,13.3279,True
901207,CAJAMARCA,CELENDÍN,HUASMÍN,72.94,218,159,129,JUNTOS POR EL PERÚ,123,95.35,93.8,JUNTOS POR EL PERÚ,95.35,2.3544,72.94,distrito,28.91,3,13.2779,True
900722,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,90.99,222,202,156,JUNTOS POR EL PERÚ,127,81.41,74.36,JUNTOS POR EL PERÚ,81.41,3.3307,21.93,distrito,92.79,7,13.0654,True
